,Synonyms,Japanese,Type,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,description,name,French,Theme,English,Themes,German,Spanish,Genre,Broadcast,Demographics
40,"Shingeki no Kyojin Season 4, Attack on Titan Season 4",進撃の巨人 The Final Season Part 2,TV,12,Finished Airing,"Jan 10, 2022 to Apr 4, 2022",Winter 2022,"Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Pony Canyon Enterprises",Funimation,MAPPA,Manga,"ActionAction,         DramaDrama,         SuspenseSuspense",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"8.761 (scored by 754756754,756 users)      1          indicates a weighted score.",#4122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#102,"1,300,180","30,243","Turning against his former allies and enemies alike, Eren Yeager sets a disastrous plan in motion. Under the guidance of the Beast Titan, Zeke, Eren takes extreme measures to end the ancient conflict between Marley and Eldia—but his true intentions remain a mystery. Delving deep into his family's past, Eren fights to control his own destiny.

Meanwhile, the long-feuding nations of Marley and Eldia utilize both soldiers and Titans in a brutal race to eliminate the other. Reiner Braun uses his own powers in a desperate bid to hold off Eren's own militaristic force, and his fellow Eldians—children Falco Grice and Gabi Braun—struggle to survive in the unfolding chaos.

Elsewhere, Eren's childhood friends Mikasa Ackerman and Armin Arlert remain imprisoned alongside Eren's former Survey Corps companions, all disturbed by Eren's monstrous transformation. Under the blind belief that Eren still secretly harbors good intentions, Mikasa and the others enter the fray in an attempt to save their friend's very soul.

[Written by MAL Rewrite]
","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Shingeki no Kyojin: The Final Season Part 2</strong></h1><br/><p class=""title-english title-inherit"">Attack on Titan: Final Season Part 2</p></div>",,,,"GoreGore,         MilitaryMilitary,         SurvivalSurvival",,,,,
41,,THE FIRST SLAM DUNK,Movie,1,Finished Airing,"Dec 3, 2022",,Shueisha,GKIDS,"Toei Animation,       DandeLion Animation Studio",Manga,"Award WinningAward Winning,         SportsSports",ShounenShounen,2 hr. 4 min.,PG-13 - Teens 13 or older,"8.761 (scored by 1638716,387 users)      1          indicates a weighted score.",#4222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#3350,"44,344",600,"Shohoku's ""speedster"" and point guard, Ryouta Miyagi, always plays with brains and lightning speed, running circles around his opponents while feigning composure. Born and raised in Okinawa, Ryouta had a brother who was three years older. Following in the footsteps of his older brother, who was a famous local player from a young age, Ryouta also became addicted to basketball.

In his second year of high school, Ryouta plays with the Shohoku High School basketball team along with Sakuragi, Rukawa, Akagi, and Mitsui as they take the stage at the Inter-High School National Championship. And now, they are on the brink of challenging the reigning champions, Sannoh Kogyo High School.

(Source: GKIDS, edited)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>The First Slam Dunk</strong></h1></div>",,,,"SchoolSchool,         Team SportsTeam Sports",,,,,
42,,〈物語〉シリーズ セカンドシーズン,TV,26,Finished Airing,"Jul 7, 2013 to Dec 29, 2013",Summer 2013,"Aniplex,       Kodansha,       Cyclone Graphics",Aniplex of America,Shaft,Light novel,"ComedyComedy,         MysteryMystery,         RomanceRomance,         SupernaturalSupernatural",,25 min. per ep.,R - 17+ (violence & profanity),"8.761 (scored by 358721358,721 users)      1          indicates a weighted score.",#4322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#307,"671,705","23,435","Apparitions, oddities, and gods continue to manifest around Koyomi Araragi and his close-knit group of friends: Tsubasa Hanekawa, the group's modest genius; Shinobu Oshino, the resident doughnut-loving vampire; athletic deviant Suruga Kanbaru; bite-happy spirit Mayoi Hachikuji; Koyomi's cutesy stalker Nadeko Sengoku; and Hitagi Senjougahara, Koyomi's aloof classmate.

Monogatari Series: Second Season revolves around these individuals and their struggle to overcome the darkness that is rapidly approaching. A new semester has begun and with graduation looming over Koyomi, he must quickly decide the paths he will walk, as well as the relationships and friends that he'll save. But as strange events begin to unfold, Koyomi is nowhere to be found, and a vicious tiger apparition has appeared in his absence. Hanekawa has become its target, and she must fend for herself—or bow to the creature's perspective on the feebleness of humanity.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Monogatari Series: Second Season</strong></h1></div>",Monogatari Seconde Saison,VampireVampire,,,,,,,
43,,鬼滅の刃 遊郭編,TV,11,Finished Airing,"Dec 5, 2021 to Feb 13, 2022",Winter 2022,"Aniplex,       Shueisha","Aniplex of America,       Crunchyroll",ufotable,Manga,"ActionAction,         FantasyFantasy",ShounenShounen,26 min. per ep.,R - 17+ (violence & profanity),"8.751 (scored by 913749913,749 users)      1          indicates a weighted score.",#4422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#85,"1,438,387","24,378","The devastation of the Mugen Train incident still weighs heavily on the members of the Demon Slayer Corps. Despite being given time to recover, life must go on, as the wicked never sleep: a vicious demon is terrorizing the alluring women of the Yoshiwara Entertainment District. The Sound Hashira, Tengen Uzui, and his three wives are on the case. However, when he soon loses contact with his spouses, Tengen fears the worst and enlists the help of Tanjirou Kamado, Zenitsu Agatsuma, and Inosuke Hashibira to infiltrate the district's most prominent houses and locate the depraved Upper Rank Demon.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Kimetsu no Yaiba: Yuukaku-hen</strong></h1><br/><p class=""title-english title-inherit"">Demon Slayer: Kimetsu no Yaiba Entertainment District Arc</p></div>",,HistoricalHistorical,,,,,,,
44,,キングダム 第5シリーズ,TV,13,Finished Airing,"Jan 14, 2024 to Mar 31, 2024",Winter 2024,"Avex Pictures,       Shueisha,       Jinnan Studio,       NHK Enterprises","None found, add some","Pierrot,       Studio Signpost",Manga,,SeinenSeinen,24 min. per ep.,R - 17+ (violence & profanity),"8.751 (scored by 1286112,861 users)      1          indicates a weighted score.",#4522    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#3784,"35,215",430,Fifth season of Kingdom.,"<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Kingdom 5th Season</strong></h1><br/><p class=""title-english title-inherit"">Kingdom: Season 5</p></div>",,,,"HistoricalHistorical,         MilitaryMilitary",,,ActionAction,,
45,,カウボーイビバップ,TV,26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,Bandai Visual,Funimation,Sunrise,Original,"ActionAction,         Award WinningAward Winning,         Sci-FiSci-Fi",,24 min. per ep.,R - 17+ (violence & profanity),"8.751 (scored by 969019969,019 users)      1          indicates a weighted score.",#4622    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#43,"1,872,998","82,572","Crime is timeless. By the year 2071, humanity has expanded across the galaxy, filling the surface of other planets with settlements like those on Earth. These new societies are plagued by murder, drug use, and theft, and intergalactic outlaws are hunted by a growing number of tough bounty hunters.

Spike Spiegel and Jet Black pursue criminals throughout space to make a humble living. Beneath his goofy and aloof demeanor, Spike is haunted by the weight of his violent past. Meanwhile, Jet manages his own troubled memories while taking care of Spike and the Bebop, their ship. The duo is joined by the beautiful con artist Faye Valentine, odd child Edward Wong Hau Pepelu Tivrusky IV, and Ein, a bioengineered Welsh Corgi.

While developing bonds and working to catch a colorful cast of criminals, the Bebop crew's lives are disrupted by a menace from Spike's past. As a rival's maniacal plot continues to unravel, Spike must choose between life with his newfound family or revenge for his old wounds.

[Written by MAL Rewrite]
","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Cowboy Bebop</strong></h1></div>",,,Cowboy Bebop,"Adult CastAdult Cast,         SpaceSpace",,,,,
46,,ヴィンランド・サガ,TV,24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019",Summer 2019,"Production I.G,       Dentsu,       Kodansha,       Twin Engine",Sentai Filmworks,Wit Studio,Manga,"ActionAction,         AdventureAdventure,         DramaDrama",SeinenSeinen,24 min. per ep.,R - 17+ (violence & profanity),"8.751 (scored by 879505879,505 users)      1          indicates a weighted score.",#4722    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#75,"1,525,570","47,819","Young Thorfinn grew up listening to the stories of old sailors that had traveled the ocean and reached the place of legend, Vinland. It's said to be warm and fertile, a place where there would be no need for fighting—not at all like the frozen village in Iceland where he was born, and certainly not like his current life as a mercenary. War is his home now. Though his father once told him, ""You have no enemies, nobody does. There is nobody who it's okay to hurt,"" as he grew, Thorfinn knew that nothing was further from the truth.

The war between England and the Danes grows worse with each passing year. Death has become commonplace, and the viking mercenaries are loving every moment of it. Allying with either side will cause a massive swing in the balance of power, and the vikings are happy to make names for themselves and take any spoils they earn along the way. Among the chaos, Thorfinn must take his revenge and kill Askeladd, the man who murdered his father. The only paradise for the vikings, it seems, is the era of war and death that rages on.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Vinland Saga</strong></h1></div>",,,,"GoreGore,         HistoricalHistorical",,,,,
47,,キングダム 第4シリーズ,TV,26,Finished Airing,"Apr 10, 2022 to Oct 2, 2022",Spring 2022,"Avex Pictures,       Shueisha,       NHK Enterprises","None found, add some","Pierrot,       Studio Signpost",Manga,,SeinenSeinen,24 min. per ep.,R - 17+ (violence & profanity),"8.741 (scored by 2781027,810 users)      1          indicates a weighted score.",#4822    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#2717,"65,270","1,058","Following the conclusion of the large-scale coalition campaign, the entirety of China is in a state of economic recovery. The victor of the battle, the state of Qin, is no different. There, the political parties led by Ying Zheng and Buwei Lü continue their inner conflict. Having played the role of king in the coalition battle, Zheng has the trust of the people—but Lü is far from out of the fight. In 18 months, he plans to interrupt Zheng's coming-of-age ceremony.

Meanwhile, a Zhao army numbering 20,000 troops has set out toward Qin. In the royal court, due to the lack of generals capable of responding to the incoming threat, Lü slyly suggests that Zheng take command. However, Cheng Jiao, Zheng's half-brother, volunteers instead. As they grew to trust each other during the coalition battle, Zheng now accepts Jiao as his replacement.

However, the Zhao forces retreat a mere half-day after clashing with Jiao's army. With trouble quickly brewing in the shadows, the internal struggle of Qin is only complicated further. There are only two men Zheng feels he can rely on: Bi, a general who commands 30,000 men; and Xin, the leader of the Fei Xin force.

[Written by MAL Rewrite]
","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Kingdom 4th Season</strong></h1><br/><p class=""title-english title-inherit"">Kingdom: Season 4</p></div>",,,,"HistoricalHistorical,         MilitaryMilitary",,,ActionAction,,
48,"時光代理人, Jikou Dairinin, Shi Guang Dai Li Ren",时光代理人,ONA,11,Finished Airing,"Apr 30, 2021 to Jul 9, 2021",,"bilibili,       BeDream",Funimation,LAN Studio,Original,"DramaDrama,         MysteryMystery,         SupernaturalSupernatural,         SuspenseSuspense",,23 min. per ep.,PG-13 - Teens 13 or older,"8.741 (scored by 139416139,416 users)      1          indicates a weighted score.",#4922    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#641,"368,941","11,691","It is said that a picture is worth a thousand words. In this case, it holds an infinite amount of secrets. These are secrets that only Cheng Xiaoshi and Lu Guang are able to find. In a small shop called ""Time Photo Studio,"" the two friends provide a special service: using their extraordinary powers that let them enter photographs, they jump into pictures brought to them by clients in order to grant their wishes. Through the eyes of the photographer, they live through the events surrounding the picture and try to decipher how to solve their client's request.

But every time they jump into a picture, they take a great risk. One wrong move and they could alter the future of the person who took the picture... and possibly countless other events too. So when the events they are forced to live through in these pictures start to become personal, it will take the utmost strength to push their feelings aside and focus on accomplishing the task they were paid to do.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Shiguang Dailiren</strong></h1><br/><p class=""title-english title-inherit"">Link Click</p></div>",,,Link Click,"Adult CastAdult Cast,         Time TravelTime Travel",,,,,
49,Mushishi Zoku Shou 2nd Season,蟲師 続章,TV,10,Finished Airing,"Oct 19, 2014 to Dec 21, 2014",Fall 2014,"Aniplex,       Kodansha,       Delfi Sound",Aniplex of America,Artland,Manga,"AdventureAdventure,         MysteryMystery,         Slice of LifeSlice of Life,         SupernaturalSupernatural",SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older,"8.731 (scored by 107293107,293 users)      1          indicates a weighted score.",#5022    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#912,"267,991","1,489","Ghostly, primordial beings known as Mushi continue to cause mysterious changes in the lives of humans. The travelling Mushishi, Ginko, persists in trying to set right the strange and unsettling situations he encounters. Time loops, living shadows, and telepathy are among the overt effects of interference from Mushi, but more subtle symptoms that take years to be noticed also rouse Ginko's concern as he passes from village to village.

Through circumstance, Ginko has become an arbiter, determining which Mushi are blessings and which are curses. But the lines that he seeks to draw are subjective. Some of his patients would rather exercise their new powers until they are utterly consumed by them; others desperately strive to rid themselves of afflictions which are in fact protecting their lives from devastation. Those who cross paths with Mushi must learn to accept seemingly impossible consequences for their actions, and heal wounds they did not know they had. Otherwise, they risk meeting with fates beyond their comprehension.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Mushishi Zoku Shou 2nd Season</strong></h1><br/><p class=""title-english title-inherit"">Mushi-shi: Next Passage Part 2</p></div>",,,,"Adult CastAdult Cast,         HistoricalHistorical,         IyashikeiIyashikei",,,,,
50,OP,ONE PIECE,TV,Unknown,Currently Airing,"Oct 20, 1999 to ?",Fall 1999,"Fuji TV,       TAP,       Shueisha","Funimation,       4Kids Entertainment",Toei Animation,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",ShounenShounen,24 min.,PG-13 - Teens 13 or older,"8.721 (scored by 13455691,345,569 users)      1          indicates a weighted score.",#5122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#19,"2,367,067","221,931","Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it.

The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many.

As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>One Piece</strong></h1></div>",,,One Piece,,,,,,
51,Rocky Joe 2,あしたのジョー２,TV,47,Finished Airing,"Oct 13, 1980 to Aug 31, 1981",Fall 1980,Annapuru,"None found, add some",Tokyo Movie Shinsha,Manga,"DramaDrama,         SportsSports",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.721 (scored by 2088220,882 users)      1          indicates a weighted score.",#5222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#3048,"52,943","2,702","Yabuki Joe is left downhearted and hopeless after a certain tragic event. In attempt to put the past behind him, Joe leaves the gym behind and begins wandering. On his travels he comes across the likes of Wolf Kanagushi and Goromaki Gondo, men who unintentionally fan the dying embers inside him, leading him to putting his wanderings to an end. His return home puts Joe back on the path to boxing, but unknown to himself and his trainer, he now suffers deep-set issues holding him back from fighting. In attempt to quell those issues, Carlos Rivera, a world renowned boxer is invited from Venezuela to help Joe recover.","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Ashita no Joe 2</strong></h1><br/><p class=""title-english title-inherit"">Tomorrow's Joe 2</p></div>",,Combat SportsCombat Sports,Tomorrow's Joe 2,,N/A,El Campeón/ El mañana de Joe 2,,Unknown,
52,Haikyu!! Final Movie,劇場版ハイキュー!! ゴミ捨て場の決戦,Movie,1,Finished Airing,"Feb 16, 2024",,"TOHO animation,       Shueisha","None found, add some",Production I.G,Manga,,ShounenShounen,1 hr. 25 min.,PG-13 - Teens 13 or older,"8.721 (scored by 51335,133 users)      1          indicates a weighted score.",#5322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1981,"108,291",876,Sequel movie to Haikyuu!! To the Top.,"<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Haikyuu!! Movie: Gomisuteba no Kessen</strong></h1><br/><p class=""title-english title-inherit"">Haikyu!! Movie: The Dumpster Battle</p></div>",,,,"SchoolSchool,         Team SportsTeam Sports",,,SportsSports,,
53,"Shouwa Genroku Rakugo Shinjuu 2nd Season, Showa and Genroku Era Lover's Suicide Through Rakugo 2nd Season",昭和元禄落語心中～助六再び篇～,TV,12,Finished Airing,"Jan 7, 2017 to Mar 25, 2017",Winter 2017,"Mainichi Broadcasting System,       Kodansha,       DAX Production,       King Records","None found, add some",Studio Deen,Manga,,JoseiJosei,24 min. per ep.,PG-13 - Teens 13 or older,"8.711 (scored by 6578065,780 users)      1          indicates a weighted score.",#5422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1277,"188,354","3,156","Even after having risen to the utmost rank of shin'uchi, Yotarou struggles to find his own identity in the world of rakugo. Caught between his master's teachings and the late Sukeroku's unique style, his performance lacks an important ingredient—ego. And while his popularity packs the theaters, he is but one of the few; rakugo is under threat of being eclipsed.

Meanwhile Yakumo, regarded by many as the last bastion of preserving the popularity of rakugo, struggles to cope with his elderly state. Even though his performances are still stellar, he fears that he is nearing his limits. His doubts grow stronger as an old friend creeps ever closer. Konatsu, for her part, attempts to raise her son as a single mother, which Yotarou is heavily opposed to. Instead, he seeks to persuade her to marry him and in turn raise her son as his own.

In Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen, the curtains fall on Yotarou and Yakumo's story, tasked with restoring the near-obsolete art form as well as overcoming their internal conflicts.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen</strong></h1><br/><p class=""title-english title-inherit"">Descending Stories: Showa Genroku Rakugo Shinju</p></div>",Le Rakugo ou la Vie 2,,,"Adult CastAdult Cast,         HistoricalHistorical,         Love PolygonLove Polygon,         Performing ArtsPerforming Arts",,,DramaDrama,,
